#,船,等级,舰种,绝对强度%,同级强度%,同舰种同级强度%,相对经验(中位),场均经验,胜率,五星率,玩家数,场次
276,Edinburgh,8,Cruiser,62.9,77.8,66.7,1.015,1724.7,0.834,0.448,4705,104139
277,Dmitri Donskoi,9,Cruiser,62.9,48.0,24.1,1.015,1828.0,0.822,0.476,1200,19327
278,Z-42,10,Destroyer,62.9,19.9,33.3,1.015,1879.6,0.831,0.47,115,1625
279,Encounter,9,Cruiser,62.5,47.3,22.4,1.014,1951.9,0.84,0.488,1041,15144
280,Tallinn,8,Cruiser,62.5,77.3,65.1,1.014,1692.8,0.825,0.425,3630,81618
281,Lazo,7,Cruiser,62.5,82.9,73.9,1.014,1518.6,0.838,0.483,2329,59998
282,Indiana,9,Battleship,62.5,47.3,42.9,1.014,1710.7,0.829,0.488,96,1683
283,Halland,10,Destroyer,61.9,19.3,30.8,1.013,1757.0,0.807,0.468,726,13500
284,Alliance,8,Submarine,61.9,76.7,50.0,1.013,1668.6,0.772,0.388,100,1893
285,Drake,9,Cruiser,61.7,46.0,20.7,1.012,1755.2,0.811,0.47,706,10462
286,Shimanto,8,Cruiser,61.5,76.1,63.5,1.011,1732.9,0.83,0.425,3026,68209
287,Sturdy,8,Submarine,61.5,76.1,37.5,1.011,1775.8,0.8,0.442,416,6674
288,Andalucía,9,Cruiser,61.5,45.3,19.0,1.011,1828.5,0.829,0.512,1401,19191
289,Bajie,9,Battleship,61.5,45.3,41.1,1.011,1552.4,0.764,0.402,161,2354
290,Menno van Coehoorn,9,Cruiser,61.0,44.0,17.2,1.01,1947.3,0.778,0.415,1871,26277
291,Daring,10,Destroyer,61.0,18.6,28.2,1.01,1735.5,0.816,0.469,218,3256
292,Conqueror,10,Battleship,61.0,18.6,14.6,1.01,1711.5,0.772,0.403,603,7660
293,Tashkent,9,Destroyer,60.6,43.3,94.4,1.009,1862.6,0.859,0.562,383,5296
294,Fort Worth,9,Cruiser,60.6,43.3,15.5,1.009,1866.6,0.881,0.46,51,536
295,Piemonte,11,Cruiser,60.3,47.6,14.3,1.008,1604.8,0.647,0.289,48,773
296,Royal Sovereign,7,Battleship,60.3,81.9,87.9,1.008,1738.8,0.849,0.394,89,1099
297,BA Tirpitz,8,Battleship,60.3,75.0,72.0,1.008,1832.9,0.878,0.533,197,4795
298,Narai,8,Cruiser,59.9,74.4,61.9,1.007,1744.4,0.814,0.467,67,899
299,Wiesbaden,8,Cruiser,59.9,74.4,61.9,1.007,1668.4,0.822,0.431,379,7220
300,Sinop,7,Battleship,59.6,81.0,84.8,1.006,1577.9,0.867,0.521,3958,67627
301,Aki,10,Battleship,59.6,17.4,12.2,1.006,1734.1,0.827,0.457,217,2916
302,Kearsarge,9,Battleship,59.4,42.0,39.3,1.005,1593.5,0.791,0.438,970,22197
303,Marco Polo,9,Battleship,59.4,42.0,39.3,1.005,1573.0,0.778,0.409,303,4371
304,Azuma B,9,Cruiser,59.4,42.0,13.8,1.005,1717.3,0.804,0.461,149,2318
305,Protector,8,Cruiser,59.0,73.3,58.7,1.004,1744.6,0.805,0.377,380,3040
306,Atlântico,8,Battleship,59.0,73.3,70.0,1.004,1779.9,0.833,0.443,1143,32197
307,Anhalt,8,Battleship,58.7,72.2,68.0,1.003,1539.1,0.794,0.376,1600,38670
308,Gorizia,7,Cruiser,58.6,80.0,71.7,1.002,1654.3,0.844,0.496,957,10760
309,Charles Martel,8,Cruiser,58.4,71.6,57.1,1.001,1677.4,0.828,0.447,3586,67017
310,Zarya Svobody,9,Battleship,58.4,40.0,35.7,1.001,1775.0,0.836,0.49,73,1147
311,Optio,7,Cruiser,58.4,79.0,69.6,1.001,1353.3,0.795,0.37,224,3327
312,San Diego,8,Cruiser,58.0,71.0,55.6,1.0,1653.2,0.809,0.413,2200,41625
313,Khabarovsk,10,Destroyer,58.0,16.8,25.6,1.0,1670.8,0.832,0.515,154,1474
314,Sun Yat-Sen,9,Battleship,58.0,39.3,33.9,1.0,1756.1,0.804,0.474,223,3261
315,Kii,8,Battleship,58.0,71.0,66.0,1.0,1560.0,0.795,0.388,1118,24799
316,Tokachi,7,Cruiser,58.0,78.1,67.4,1.0,1577.3,0.806,0.393,469,8681
317,Myōkō,7,Cruiser,57.4,77.1,65.2,0.999,1423.0,0.79,0.433,5325,100699
318,Delny,10,Destroyer,57.4,16.1,23.1,0.999,1609.2,0.851,0.448,22,238
319,Duca degli Abruzzi,7,Cruiser,57.4,77.1,65.2,0.999,1566.0,0.806,0.461,891,14094
320,Hizen,9,Battleship,57.4,38.7,32.1,0.999,1626.6,0.757,0.429,105,1329
321,Minnesota,9,Battleship,56.8,38.0,30.4,0.998,1650.0,0.803,0.448,790,12358
322,Kunming,11,Destroyer,56.8,42.9,100.0,0.998,1667.0,0.688,0.341,76,2598
323,Sete de Setembro,10,Battleship,56.8,15.5,9.8,0.998,1983.5,0.826,0.452,29,326
324,Bismarck,8,Battleship,56.4,69.9,64.0,0.997,1464.8,0.786,0.365,6894,209376
325,Knesebeck,8,Cruiser,56.3,69.3,54.0,0.996,1834.4,0.864,0.493,1536,21763
326,AL Kearsarge,9,Battleship,56.3,37.3,28.6,0.996,1735.7,0.765,0.417,160,3328
327,Mogador,9,Destroyer,56.0,36.7,91.7,0.995,1820.0,0.883,0.562,577,9338
328,Jäger,9,Destroyer,55.9,36.0,88.9,0.994,1849.9,0.833,0.513,2533,86856
329,Eendracht,7,Cruiser,55.9,75.2,60.9,0.994,1636.2,0.874,0.521,2809,34973
330,Ochakov,8,Cruiser,55.9,68.8,52.4,0.994,1659.6,0.805,0.399,333,5865
331,Roussillon,9,Battleship,55.9,36.0,26.8,0.994,1728.0,0.839,0.482,245,3287
332,Carnot,9,Cruiser,55.9,36.0,12.1,0.994,1587.1,0.776,0.416,263,3553
333,Lepanto,9,Battleship,55.2,34.0,25.0,0.993,1600.7,0.801,0.44,1995,28899
334,Iowa,9,Battleship,55.2,34.0,25.0,0.993,1501.9,0.765,0.408,2234,39580
335,Tempesta Nera,10,Battleship,55.2,14.9,7.3,0.993,1667.5,0.815,0.429,220,2688
336,Picardie,8,Battleship,55.2,68.2,62.0,0.993,1580.3,0.79,0.395,157,2032
337,West Virginia '44,7,Battleship,54.7,74.3,81.8,0.992,1579.7,0.847,0.42,677,11573
338,BA Binah,8,Battleship,54.7,67.6,60.0,0.992,1974.6,0.874,0.487,81,1415
339,AL Marco Polo,9,Battleship,54.7,32.7,21.4,0.992,1647.6,0.816,0.447,23,444
340,Flandre,8,Battleship,54.3,67.0,58.0,0.99,1666.8,0.822,0.414,945,21125
341,Slava,10,Battleship,54.3,14.3,4.9,0.99,1849.6,0.783,0.429,210,2709
342,Pyotr Bagration,8,Cruiser,54.0,66.5,50.8,0.989,1727.0,0.819,0.413,589,14110
343,Fort Worth Golden,9,Cruiser,54.0,32.0,10.3,0.989,1782.7,0.832,0.467,21,250
344,ARP Myōkō,7,Cruiser,53.7,73.3,58.7,0.988,1532.2,0.813,0.503,1037,17732
345,Johan de Witt,9,Cruiser,53.6,31.3,8.6,0.987,1709.2,0.828,0.467,685,9494
346,Chikuma II Golden,9,Cruiser,53.6,31.3,8.6,0.987,2153.0,0.823,0.51,37,438
347,Devastation,11,Battleship,53.3,38.1,28.6,0.986,1467.7,0.623,0.282,68,1271
348,Dmitry Pozharsky,8,Cruiser,53.2,65.9,49.2,0.984,1599.8,0.816,0.406,1081,26980
349,AL Tashkent,9,Destroyer,53.2,30.0,86.1,0.984,1774.5,0.898,0.594,24,406
350,Delaware,9,Battleship,52.9,29.3,19.6,0.982,1690.7,0.804,0.453,516,7677
351,STAR Kitakaze,9,Destroyer,52.9,29.3,83.3,0.982,1805.9,0.837,0.499,86,1172
352,Maya,7,Cruiser,52.9,72.4,56.5,0.982,1512.1,0.829,0.421,526,8960
353,Kiberpankov,8,Cruiser,52.9,65.3,47.6,0.982,1440.6,0.786,0.385,165,3217
354,AL Prinz Heinrich,7,Battleship,52.4,71.4,78.8,0.981,1628.2,0.857,0.45,223,4319
355,Minegumo,9,Destroyer,52.4,28.0,80.6,0.981,1775.4,0.836,0.495,209,3995
356,Z-46,9,Destroyer,52.1,27.3,77.8,0.98,1739.7,0.848,0.526,496,7002
357,Francesco Ferruccio,7,Cruiser,52.1,70.5,54.3,0.98,1527.2,0.807,0.378,137,2521
358,STAR Edinburgh,8,Cruiser,52.1,64.8,46.0,0.98,1789.7,0.83,0.46,153,3992
359,Baotou,9,Cruiser,52.1,27.3,5.2,0.98,1851.7,0.837,0.479,41,883
360,Barfleur,9,Destroyer,52.1,27.3,77.8,0.98,1771.8,0.902,0.539,48,817
361,Nelson,7,Battleship,51.4,69.5,75.8,0.979,1516.9,0.808,0.454,2101,43636
362,Montcalm,6,Cruiser,51.4,100.0,100.0,0.979,1440.5,0.836,0.391,139,2630
363,Marceau,10,Destroyer,51.1,13.7,20.5,0.978,1658.6,0.83,0.491,541,7345
364,Alsace,9,Battleship,51.1,25.3,17.9,0.978,1614.1,0.795,0.44,1118,18144
365,Albemarle,8,Cruiser,51.1,64.2,44.4,0.978,1596.9,0.808,0.401,1918,33198
366,Yūgumo,9,Destroyer,51.1,25.3,72.2,0.978,1668.5,0.845,0.52,1266,27575
367,Taihang,9,Battleship,51.1,25.3,17.9,0.978,1743.5,0.756,0.403,381,8305
368,Hyūga,7,Battleship,50.5,68.6,72.7,0.977,1487.1,0.852,0.468,627,9945
369,Sevastopol,10,Cruiser,50.5,13.0,1.8,0.977,1843.4,0.792,0.449,53,744
370,Gambia,7,Cruiser,50.2,67.6,52.2,0.976,1581.8,0.86,0.441,314,4827
371,Wukong,8,Cruiser,50.2,63.6,42.9,0.976,1522.5,0.79,0.389,528,15307
372,Strasbourg,7,Battleship,49.9,66.7,69.7,0.975,1581.0,0.889,0.583,968,14880
373,Rodney,7,Battleship,49.9,66.7,69.7,0.975,1556.6,0.83,0.413,156,2611
374,Lenin,8,Battleship,49.7,63.1,56.0,0.974,1716.0,0.833,0.451,578,10052
375,ARP Ashigara,7,Cruiser,49.7,64.8,50.0,0.974,1345.5,0.749,0.428,515,9811
376,Zara,7,Cruiser,49.4,63.8,47.8,0.972,1527.3,0.849,0.502,3739,51182
377,Undine,6,Submarine,49.4,98.9,100.0,0.972,1535.6,0.842,0.441,244,3072
378,ARP Nachi,7,Cruiser,49.4,63.8,47.8,0.972,1381.3,0.754,0.442,486,8106
379,Brest,9,Cruiser,49.0,23.3,3.4,0.971,1726.2,0.822,0.481,745,9867
380,S-1,6,Submarine,48.9,97.8,83.3,0.97,1698.4,0.866,0.49,573,8720
381,Anchorage,8,Cruiser,48.9,62.5,41.3,0.97,1658.7,0.797,0.387,644,12578
382,Ashitaka,7,Battleship,48.9,61.9,63.6,0.97,1480.0,0.812,0.469,910,16803
383,Groningen,9,Destroyer,48.9,22.7,69.4,0.97,1556.2,0.827,0.466,384,5515
384,Lanzhou,7,Cruiser,48.9,61.9,43.5,0.97,1539.9,0.805,0.374,201,2735
385,Mysore,6,Cruiser,48.2,96.7,97.0,0.969,1436.0,0.84,0.454,242,3607
386,Pilus Prior,9,Battleship,48.2,22.0,14.3,0.969,1298.8,0.759,0.392,101,1454
387,Lazo B,7,Cruiser,48.2,60.0,41.3,0.969,1639.2,0.823,0.39,58,574
388,Akizuki,8,Destroyer,47.8,61.9,100.0,0.968,1718.3,0.885,0.526,5323,178029
389,Belfast '43,8,Cruiser,47.8,61.9,39.7,0.968,1568.5,0.797,0.385,558,9217
390,Eastern Dragon,7,Cruiser,47.8,59.0,39.1,0.968,1369.2,0.763,0.356,193,3092
391,Småland,10,Destroyer,47.8,12.4,17.9,0.968,1753.8,0.8,0.463,109,1127
392,S-189,8,Submarine,47.8,61.9,25.0,0.968,1623.1,0.802,0.401,185,2774
393,Bird Cry,9,Battleship,47.8,21.3,12.5,0.968,1374.7,0.779,0.398,41,694
394,Yamagiri,11,Destroyer,47.0,33.3,75.0,0.967,1399.3,0.65,0.284,269,9418
395,Lüshun,10,Destroyer,47.0,11.8,15.4,0.967,1848.6,0.856,0.548,132,1264
396,Friesland,9,Destroyer,46.7,20.7,66.7,0.966,1652.9,0.831,0.506,96,820
397,Tiger '59,8,Cruiser,46.7,60.2,38.1,0.966,1722.5,0.821,0.428,230,3183
398,Christopher,9,Destroyer,46.7,20.7,66.7,0.966,1875.7,0.906,0.6,374,5093
399,Rochester,8,Cruiser,46.7,60.2,38.1,0.966,1569.8,0.811,0.4,847,15331
400,München B,7,Cruiser,46.7,58.1,37.0,0.966,1575.9,0.825,0.427,76,779
401,Kearsarge B,9,Battleship,46.0,19.3,10.7,0.965,1628.0,0.773,0.425,97,1545
402,Cataluña,8,Cruiser,45.9,59.1,34.9,0.963,1691.2,0.833,0.45,2811,46459
403,Chung Mu,9,Destroyer,45.9,18.7,61.1,0.963,1781.4,0.861,0.546,638,11274
404,De Zeven Provinciën,8,Cruiser,45.9,59.1,34.9,0.963,1723.7,0.818,0.409,589,8601
405,Ragnarok,8,Battleship,45.9,59.1,54.0,0.963,1483.4,0.82,0.366,108,2865
406,Orage,9,Destroyer,45.3,18.0,58.3,0.962,1890.6,0.881,0.565,705,11267
407,Surrey,7,Cruiser,45.2,57.1,34.8,0.961,1508.4,0.859,0.512,2515,36106
408,Satsuma,11,Battleship,45.2,28.6,14.3,0.961,1523.2,0.65,0.289,382,5144
409,Canarias,6,Cruiser,45.2,95.6,93.9,0.961,1531.6,0.884,0.512,518,7717
410,Udaloi,9,Destroyer,45.2,17.3,55.6,0.961,1740.5,0.866,0.538,343,4781
411,Coronel Bolognesi,7,Cruiser,44.7,56.2,32.6,0.96,1639.8,0.852,0.438,2521,35073
412,Gascogne,8,Battleship,44.5,57.4,52.0,0.959,1515.4,0.795,0.38,760,12266
413,Aki Golden,10,Battleship,44.5,11.2,2.4,0.959,1798.1,0.807,0.389,24,274
414,Jervis,7,Destroyer,44.3,55.2,92.3,0.956,1511.6,0.858,0.529,1979,27684
415,Ignacio Allende,8,Cruiser,44.3,56.8,31.7,0.956,1713.9,0.839,0.44,3268,52342
416,Cheshire,8,Cruiser,44.3,56.8,31.7,0.956,1636.1,0.8,0.403,440,6723
417,Somme,9,Destroyer,44.3,16.7,52.8,0.956,1574.8,0.842,0.534,197,2465
418,Cossack,8,Destroyer,44.3,56.8,97.0,0.956,1643.1,0.88,0.512,700,11240
419,Scarlet Thunder,9,Battleship,44.3,16.7,8.9,0.956,1632.2,0.795,0.438,220,3385
420,AL Sov. Rossiya,9,Battleship,43.5,15.3,7.1,0.955,1636.5,0.811,0.459,94,1731
421,Bridgeport,8,Cruiser,43.3,55.1,28.6,0.954,1552.9,0.8,0.425,192,2187
422,Nanning,9,Destroyer,43.3,14.7,50.0,0.954,1892.8,0.841,0.51,33,356
423,Błyskawica '44,8,Destroyer,43.0,54.5,93.9,0.953,1486.1,0.851,0.485,81,1011
424,Vyazma,9,Cruiser,42.9,14.0,1.7,0.952,1701.3,0.693,0.339,1328,25333
425,Constellation,8,Battleship,42.9,54.0,50.0,0.952,1483.8,0.782,0.357,464,8633
426,Châteaurenault,10,Destroyer,42.9,10.6,12.8,0.952,1945.9,0.899,0.565,99,2753
427,Almirante Grau,8,Cruiser,42.5,53.4,27.0,0.951,1650.7,0.831,0.436,357,5581
428,Hughes,7,Destroyer,42.4,54.3,88.5,0.95,1636.9,0.911,0.515,493,4867
429,Schill,8,Cruiser,42.4,52.8,25.4,0.95,1540.9,0.809,0.404,367,5100
430,Érne,8,Cruiser,42.4,52.8,25.4,0.95,1302.9,0.766,0.343,24,303
431,Harbin,8,Cruiser,42.0,51.7,22.2,0.949,1645.0,0.811,0.42,3348,61961
432,Auckland,8,Cruiser,42.0,51.7,22.2,0.949,1766.8,0.844,0.448,1617,24504
433,Vauquelin,7,Destroyer,41.7,53.3,84.6,0.948,1614.8,0.885,0.574,1537,19107
434,Nürnberg,6,Cruiser,41.6,94.5,90.9,0.947,1252.5,0.771,0.36,11647,341672
435,Omono,7,Cruiser,41.4,52.4,30.4,0.946,1553.1,0.818,0.407,2550,36571
436,AL Gorizia,7,Cruiser,41.4,52.4,30.4,0.946,1530.7,0.804,0.381,129,2088
437,Johnston,9,Destroyer,41.2,13.3,47.2,0.945,1718.5,0.83,0.476,83,873
438,Prince of Wales,8,Battleship,41.2,50.6,48.0,0.945,1625.5,0.845,0.351,21,326
439,Gneisenau,7,Battleship,40.9,50.5,60.6,0.944,1293.2,0.788,0.436,8204,160020
440,Congress,8,Cruiser,40.9,50.0,19.0,0.944,1439.8,0.782,0.374,660,10408
441,Le Hardi,7,Destroyer,40.9,50.5,80.8,0.944,1660.6,0.908,0.539,491,5875
442,Felix Schultz,9,Destroyer,40.9,12.7,44.4,0.944,1706.1,0.853,0.531,555,8554
443,AL Richelieu,8,Battleship,40.9,50.0,46.0,0.944,1419.5,0.808,0.369,39,699
444,Fletcher,9,Destroyer,40.2,12.0,41.7,0.943,1515.4,0.822,0.487,934,16806
445,Black,9,Destroyer,40.2,12.0,41.7,0.943,1411.5,0.8,0.461,172,2687
446,Tashkent '39,7,Destroyer,40.2,48.6,76.9,0.943,1593.1,0.887,0.522,191,6210
447,Lyon,7,Battleship,39.8,47.6,57.6,0.942,1388.2,0.78,0.41,5353,105702
448,Renown '44,7,Battleship,39.8,47.6,57.6,0.942,1542.7,0.818,0.413,495,10239
449,Laffey,10,Destroyer,39.5,9.9,10.3,0.941,1597.3,0.862,0.513,210,2788
450,Z-44,9,Destroyer,39.5,10.7,36.1,0.941,1537.1,0.825,0.483,329,5748
451,Nagato,7,Battleship,39.3,45.7,51.5,0.94,1344.0,0.792,0.423,7082,132091
452,Alabama B,8,Battleship,39.3,48.9,44.0,0.94,1484.2,0.789,0.396,72,639
453,Comandante Aguirre,8,Cruiser,39.3,48.9,17.5,0.94,1650.3,0.825,0.439,26,237
454,Prinz Heinrich,7,Battleship,38.9,44.8,48.5,0.939,1521.2,0.862,0.491,5270,91221
455,ARP Haguro,7,Cruiser,38.9,44.8,26.1,0.939,1230.8,0.705,0.36,696,12438
456,Adriatico,9,Destroyer,38.9,10.0,33.3,0.939,1699.5,0.851,0.519,331,4702
457,King George V,7,Battleship,38.5,42.9,45.5,0.938,1385.6,0.793,0.435,4524,78009
458,Amagi,8,Battleship,38.5,47.7,42.0,0.938,1384.5,0.786,0.37,3770,83730
459,Leipzig,6,Cruiser,38.5,93.4,87.9,0.938,1359.1,0.806,0.377,359,5779
460,Danu,7,Battleship,38.1,41.9,42.4,0.937,1133.0,0.714,0.29,49,614
461,Amalfi,8,Cruiser,37.9,47.2,15.9,0.936,1526.9,0.791,0.388,2515,40861
462,Algérie,7,Cruiser,37.9,41.0,23.9,0.936,1412.6,0.791,0.429,6337,103998
463,Östergötland,9,Destroyer,37.9,9.3,30.6,0.936,1657.7,0.846,0.527,649,10821
464,Kheper,8,Battleship,37.9,47.2,40.0,0.936,1343.4,0.714,0.307,44,599
465,Admiral Scheer,7,Cruiser,37.4,40.0,21.7,0.935,1592.9,0.849,0.431,1189,13801
466,Nürnberg '44,7,Cruiser,37.4,40.0,21.7,0.935,1406.7,0.785,0.343,165,2060
467,Le Fantasque,8,Destroyer,37.1,46.0,90.9,0.934,1644.8,0.885,0.519,1040,16572
468,L'Aventurier,8,Destroyer,37.1,46.0,90.9,0.934,1738.4,0.893,0.551,781,11151
469,Tennessee,8,Battleship,37.1,46.0,38.0,0.934,1541.3,0.8,0.391,350,5692
470,Elli,6,Cruiser,37.1,92.3,84.8,0.934,1279.2,0.812,0.362,107,1284
471,Vladivostok,8,Battleship,36.6,44.3,36.0,0.933,1494.1,0.803,0.392,2089,38970
472,Ognevoi,8,Destroyer,36.6,44.3,84.8,0.933,1607.0,0.862,0.488,723,10997
473,AL Cheshire,8,Cruiser,36.6,44.3,14.3,0.933,1624.8,0.846,0.461,414,10953
474,Le Terrible,8,Destroyer,36.2,42.6,81.8,0.932,1570.4,0.851,0.492,320,5179
475,Jutland,9,Destroyer,36.0,8.7,27.8,0.931,1594.9,0.85,0.525,452,7229
476,Ignis Purgatio,8,Battleship,36.0,42.0,34.0,0.931,1479.8,0.802,0.376,162,2315
477,Admiral Makarov,6,Cruiser,35.8,91.2,81.8,0.93,1436.7,0.842,0.474,1003,21346
478,Uganda,7,Cruiser,35.8,38.1,17.4,0.93,1639.3,0.845,0.431,1176,14013
479,Poltava,7,Battleship,35.5,37.1,39.4,0.929,1440.6,0.833,0.453,340,4176
480,Dido,6,Cruiser,35.5,90.1,78.8,0.929,1402.6,0.868,0.504,547,7841
481,Lüshun B,10,Destroyer,35.5,9.3,7.7,0.929,1617.8,0.852,0.522,225,2862
482,Minsk,7,Destroyer,35.1,36.2,73.1,0.928,1516.5,0.855,0.536,1709,26911
483,Vrijheid,8,Cruiser,35.1,41.5,12.7,0.928,1589.1,0.832,0.418,25,291
484,Deutschland,6,Cruiser,34.8,89.0,75.8,0.927,1432.0,0.848,0.441,1027,10765
485,Gustav den Store,9,Battleship,34.7,8.0,5.4,0.925,1732.8,0.831,0.444,624,9203
486,Southern Dragon,7,Cruiser,34.7,35.2,15.2,0.925,1279.5,0.683,0.338,381,5835
487,Indianapolis,7,Cruiser,34.4,34.3,13.0,0.924,1349.6,0.718,0.357,1591,24686
488,Velos,9,Destroyer,34.4,7.3,25.0,0.924,1535.6,0.813,0.462,87,1162
489,Chumphon,7,Cruiser,34.1,33.3,10.9,0.922,1518.3,0.85,0.477,3214,43348
490,Lion,9,Battleship,34.1,6.7,3.6,0.922,1508.6,0.787,0.426,862,13219
491,Lightning,8,Destroyer,34.1,40.9,78.8,0.922,1519.5,0.856,0.473,1033,18054
492,Yumihari,8,Battleship,34.1,40.9,32.0,0.922,1566.7,0.807,0.405,2171,34955
493,Nottingham,8,Cruiser,34.1,40.9,11.1,0.922,1428.0,0.779,0.358,265,4151
494,Gadjah Mada,7,Destroyer,33.5,32.4,69.2,0.921,1483.2,0.837,0.492,1467,19917
495,Osborne,8,Destroyer,33.5,39.2,75.8,0.921,1702.5,0.892,0.547,378,4168
496,Kléber,10,Destroyer,33.5,8.7,5.1,0.921,1682.8,0.806,0.482,158,2505
497,Sims B,7,Destroyer,33.1,31.4,65.4,0.92,1495.8,0.851,0.516,209,2651
498,Orkan,8,Destroyer,33.1,38.6,72.7,0.92,1442.4,0.852,0.441,163,2157
499,Teng She,7,Battleship,33.1,31.4,36.4,0.92,1434.3,0.822,0.39,158,2089
500,ZF-6,9,Destroyer,33.1,6.0,22.2,0.92,1695.4,0.829,0.524,80,856
501,Hawke,8,Battleship,32.5,38.1,30.0,0.919,1580.4,0.798,0.408,3062,52902
502,Orion '44,6,Cruiser,32.5,87.9,72.7,0.919,1368.4,0.819,0.324,31,587
503,Tone,8,Cruiser,32.3,37.5,9.5,0.918,1439.4,0.779,0.367,510,11101
504,North Carolina CLR,8,Battleship,32.3,37.5,28.0,0.918,1625.2,0.837,0.433,516,6957
505,Yukon,7,Battleship,32.3,29.5,33.3,0.918,1393.7,0.822,0.449,218,2646
506,New Orleans,7,Cruiser,31.8,28.6,8.7,0.917,1310.9,0.779,0.404,6849,110959
507,Enigheten,8,Battleship,31.8,36.4,26.0,0.917,1659.0,0.814,0.377,703,9261
508,Haida,7,Destroyer,31.8,28.6,61.5,0.917,1391.3,0.812,0.486,340,4342
509,Pietro Micca,8,Submarine,31.8,36.4,12.5,0.917,1792.4,0.849,0.452,136,2398
510,Sharqi,10,Destroyer,31.8,8.1,2.6,0.917,1554.6,0.846,0.449,21,282
511,Neustrashimy,9,Destroyer,31.2,5.3,19.4,0.916,1327.4,0.775,0.433,109,1488
512,Jaarsveld,8,Cruiser,31.0,35.2,7.9,0.915,1592.3,0.798,0.401,2025,25401
513,Eskimo,8,Destroyer,31.0,35.2,69.7,0.915,1580.1,0.841,0.498,30,641
514,De Grasse,6,Cruiser,30.8,86.8,69.7,0.914,1347.4,0.794,0.4,2721,78707
515,Hood,7,Battleship,30.8,26.7,30.3,0.914,1365.7,0.766,0.409,1535,24760
516,Colorado,7,Battleship,30.5,25.7,27.3,0.913,1255.0,0.77,0.381,6683,121046
517,Alabama,8,Battleship,30.5,34.1,24.0,0.913,1359.7,0.76,0.349,943,18697
518,GQ Johnny,9,Destroyer,30.2,4.7,16.7,0.911,1435.0,0.858,0.512,443,7134
519,Izmail,6,Battleship,30.1,85.7,100.0,0.909,1326.9,0.823,0.45,5209,114210
520,Champagne,8,Battleship,30.1,33.5,22.0,0.909,1542.7,0.795,0.407,465,7898
521,Duchaffault,6,Destroyer,29.8,84.6,100.0,0.908,1464.1,0.889,0.494,285,2906
522,Florida,7,Battleship,29.7,24.8,24.2,0.907,1388.3,0.834,0.465,838,12790
523,Dunkerque B,6,Battleship,29.7,83.5,95.2,0.907,1384.5,0.855,0.484,563,8359
524,Gustav-Julius Maerker,8,Destroyer,29.7,33.0,66.7,0.907,1538.2,0.855,0.473,1370,22718
525,4282300400,,,29.7,,,0.907,1172.8,0.657,0.301,1288,17641
526,Rooke,7,Battleship,29.1,23.8,21.2,0.906,1497.6,0.827,0.441,2775,39390
527,Richelieu,8,Battleship,29.1,32.4,20.0,0.906,1419.2,0.787,0.377,3453,61657
528,Monarch,8,Battleship,29.1,32.4,20.0,0.906,1428.4,0.782,0.374,2243,40034
529,Duke of York,7,Battleship,28.7,22.9,18.2,0.905,1290.8,0.776,0.407,2771,45920
530,Paolo Emilio,9,Destroyer,28.7,4.0,13.9,0.905,1745.7,0.864,0.544,200,9582
531,Victoria,9,Battleship,28.7,4.0,1.8,0.905,1601.1,0.763,0.404,180,2379
532,Haarlem,8,Cruiser,28.3,31.2,6.3,0.904,1503.4,0.803,0.39,2231,33538
533,Xin Zhong Guo 14,6,Submarine,28.3,82.4,66.7,0.904,1426.1,0.847,0.427,52,695
534,Aoba,6,Cruiser,28.1,81.3,66.7,0.903,1189.4,0.779,0.367,7396,154036
535,Numancia,8,Cruiser,27.9,30.7,4.8,0.902,1504.5,0.79,0.383,131,1741
536,HSF Harekaze,8,Destroyer,27.8,30.1,63.6,0.901,1560.9,0.871,0.516,285,10341
537,North Carolina,8,Battleship,27.7,29.5,16.0,0.9,1302.5,0.756,0.343,4708,104834
538,Fenyang,8,Destroyer,27.7,29.5,60.6,0.9,1535.3,0.863,0.493,246,4197
539,California,7,Battleship,27.4,21.9,15.2,0.899,1276.4,0.826,0.444,430,6088
540,Leander,6,Cruiser,27.3,80.2,63.6,0.897,1254.5,0.796,0.382,8038,205044
541,Toulon,7,Cruiser,27.3,21.0,6.5,0.897,1328.9,0.825,0.376,209,2369
542,Leberecht Maass,7,Destroyer,27.0,20.0,57.7,0.896,1339.4,0.804,0.459,1797,25855
543,Budyonny,6,Cruiser,27.0,79.1,60.6,0.896,1293.8,0.788,0.387,8731,198045
544,Chios,7,Battleship,27.0,20.0,12.1,0.896,1499.5,0.811,0.369,736,8819
545,Hobart,6,Cruiser,26.6,78.0,57.6,0.895,1426.9,0.845,0.421,628,7005
546,Lambros Katsonis,9,Destroyer,26.6,2.7,11.1,0.895,1645.9,0.846,0.511,498,6874
547,Novorossiysk,6,Battleship,26.6,78.0,90.5,0.895,1313.9,0.843,0.462,632,8707
548,Duca d'Aosta,6,Cruiser,26.2,75.8,54.5,0.894,1302.6,0.782,0.378,1962,39613
549,Asturias,7,Cruiser,26.0,18.1,4.3,0.893,1445.9,0.819,0.408,2048,27257
550,Gokase,6,Cruiser,26.0,74.7,51.5,0.893,1252.7,0.805,0.376,1568,21592
551,Devonshire,6,Cruiser,25.8,73.6,48.5,0.892,1284.1,0.813,0.433,4169,74851
552,Hsienyang,8,Destroyer,25.8,28.4,57.6,0.892,1568.4,0.871,0.5,1295,24018
